text,label
RT @USER: والله لو ما رجعها لا اجلس استرم حياتي كلها يا حقير يا زباله يا شبشب يا ذره غبار في الحياه يا تافه ربي يحرقهم يا رب ببكي...,OFF
اللهم افرش لنا دربا من نور<LF>واجعل وجوهنا دائما في سرور<LF>واملأ قلوبنا بذكرك يا غفور<LF> وتقبل دعاءنا يا شكور<LF>واجعل لنا الصراط سهلا للعبور<LF>اللهم أسقط الدنيا من قلوبنا<LF>واجعل التقوى زاد دروبنا<LF>ونور بالقرآن صدورنا<LF>اللهم آمين <LF>صبحكم الله بالنور والسرور وأعطاكم ما تتمنون <LF>🌷جمعه مباركه🌷,NOT
RT @USER: @USER حبيبي يا غالي <LF>وانت طيب يا رب وميحرمناش من وجودك الحلو دايما بجد 😍❤️,NOT
حبيبي يا حب عمري يا عمر حبي 💕💕💕,NOT
اللهم يا عزيز يا جبار يا منتقم عليك بمن انكر فعله السيء واضر عبادك وجاهر بالمستور واقسم بجلالك كذبا وبهتانا اللهم ارنا به عجائب قدرتك وسخطك واجعله عبره عاجلا وليس اجلا .,NOT
RT @USER: @USER يا أحب الناس يا أحب الناس,NOT
#زعيم_تويتر_فولورز_اهلاوي<LF>اهلى يا اهلى يا اهلى <LF>اهلى يا اهلى يا اهلى يا اهلى يا اهلى يا اهلى يا اهلى يا اهلى يا اهلى,NOT
__اه يا زمن معيوب يا ايام سفيها. <LF>_يادنيا مقلوبة عليها في وطيها. <LF>_بقي يسرقونا ويتهمونا احنا فيها. <LF>_وغفرها حراميها وكبيرها خاطيها. <LF>_الاغراب بيكلوا لحمنا ويحرمونا. <LF>_وبيشربوا من سيل عرقنا ودمانا. <LF>_نهوي بكرباك نهوي بيقومونا. <LF>_وازاي نقوم وهمومنا دي مكومانا. <LF> ___الوسية URL,NOT
@USER يا قلبي انتي يا هدى 😭الله يرفع قدرك و يعلي شانك و يرحم ابوك و يشفي امك يارب الشرف لي والله ❤️❤️❤️,NOT
@USER ياااااس و أحلى خير ر الله يا لا يا طفااااال يعدو شوية الملوووك راجعة z💙💙💙💙💙💙👑👑💙👑👑👑💙💙👑💙👑💙👑💙👑👑,NOT
@USER يا برو يا ليل لدي الدرجة مقهورين ! بيحضر تخرجك ويشوفك احلى عروسة 💙💙💙 وبعض الناس هما اللي حيموتو 😏,NOT
RT @USER: @USER حبيبي يا عمار وانت طيب يا صحبي ❤️,NOT
@USER يا سلام علي التواضع يا فخر العرب 😁,NOT
RT @USER: والحـب يا أهل الهـوى يا ويـل من صابه.,NOT
"-<LF>الرحابه .. "" يوم أدوّر لـ الرحابه "" <LF>يوم صدري ضاق بـ الجرح وزهابه<LF>والله انها عند ربي ،، جلّ ربي<LF>ما قفل عن حاجة المحتاج بابه <LF>ادلهي يا عين ، و يا نفس استكنّي<LF>الليالي غيبها ، ' ما يندرا به ' <LF>"" ما تضيق إلا و عند ال",NOT
@USER انا اتقالي يا دا يا مش هيتصرف عليك مليم 😅,NOT
RT @USER: #فتاه_مفقوده_في_العشاش<LF>المخطوفة تنخاكم يا عنزه<LF>المخطوفة تنخاكم يا شمر <LF>المخطوفة تنخاكم يا حرب<LF>المخطوفة تنخى كل القبائ...,NOT
@USER يا اخي حبيتك الله يسعدك والله يسمع منك يا ولد زايد يا ولد العز,NOT
يا تنتهي كل هالمشاعر، يا أنتهي أنا.,NOT
RT @USER: يا سيّدي أدعوك، يا ربّ السماء أرجوك.☁️,NOT
@USER يا بختوا يا هناه بيكي 🌷,NOT
@USER اه فعلا بيحاول يصحصح الناس علي قد ما يقدر وكل شويه ماشي يا محمد يا محمد يا محمد يا محمد ...شهرني الصراحه فالريكوردات 😂😂,NOT
RT @USER: @USER يا أجمل قصيّدي يا أعذب الحُب ومُناي.,NOT
يا عيباه يا حسافاه اليمني بيهان بكل مكان وهذا كله بسبب قيادته الملعونه المرتزقة والمشكله نحن كجنوبين والله ثم والله اننا نحترم ونقدر الشعب في الشمال وكل خلافنا سببة قادتهم السرق واعمالهم في الجنوب متى يصحى الشعب اليمني ويشوف الاهانات من كل البلدان متى ويبني علاقة حب مع الجنوبيين URL,NOT
يالله الله عليك يا ضحى يا فيزيائيه ههههههههههههههههههههه URL,NOT
@USER ربنا يرزقك بابن الحلال يا غادة يا بنت ام غادة 😁😁,NOT
@USER يا نهار ضحك يا استاذ ابراهيم 😂😂😂❤,NOT
ماعندكم حل وسط يا ميتين يا تحرقون الفون 🌚.,NOT
RT @USER: شباب راحت ببلاش يا باشا الف سلامه يا مصر<LF>#باطل <LF>#الوطنيه_للانتخابات URL,NOT
@USER @USER @USER اقول روح ناشد و اشحذ ابسط حقوقك يا اجبن شعوب الارض ،اخر ناس يتكلمون عن حال الشعوب وكرامتها هو انتم يا مسعودين يا شحاتين وخدم آل سلول ، خلكم في حالكم يا عبيد الرجال منكم بالسجون و مغتربين ونساءكم ارجل من اشكالك,OFF
@USER يا ويلها يا سواد ليلاة اللي تحط راسها بروسنا,NOT
RT @USER: اللهم ياسامع الصوت<LF> يا مجيب السائلين اجعلنا يا الله ممن تواضع لك فرفعته ..<LF>وأقبل عليك تائبا فقبلته ..<LF>وتقرب لك فقربته ..<LF>وذ...,NOT
يارب استودعناك قبورًا ضمّت أغلى ما فقدنا، اللهم أنرها بنور الجنة، واجعلهم راضيين مرضيين ضاحكين مستبشرين بما هم فيه من نعيم وترف يا حيّ يا قيوم يا أرحم الراحمين,NOT
RT @USER: شوفو يا تعطونا راحه يا تعطونا راحه اختارو وحده من الثنتين <LF>#الثانوي_يطالبون_براحة,NOT
@USER لمستك يا ساحر يا فنان حطت فهد قدام المرمى 😍,NOT
@USER طيب وش دراك يا كبتن ؟ 😜 يا مجرب يا شايف ✋🏽,NOT
والحنايا الي تضمك بإنتظار ، من وله من خوف فيها تشب نااار.. يا نهار بليلي يا ليلي نهار ❤️,NOT
@USER حبيب قلبي يا ريجا يا اخويا متحرمش علي الكلام الحلو دا ربنا يخليك يا اخويا💙💙💙💙💙💙,NOT
RT @USER: قبل ان تنام <LF>عليك بلعن حافظ 10 مرات <LF>يلعن روحك يا حافظ<LF>يلعن روحك يا حافظ<LF>يلعن روحك يا حافظ<LF>يلعن روحك يا حافظ<LF>يلعن روحك...,OFF
عوافي يا قلبي تعبت....تعبت...تعبت<LF> الشر يا قلبي خطاك<LF> يا شمعه تضوي لين ذبت<LF> تعطي ولابين عطاك 💔,NOT
اللّهم إنّي أسألك يا فارج الهم، ويا كاشف الغم، يا مجيب دعوة المضطرين، يا رحمن الدنيا يا رحيم الآخرة، ارحمني برحمتك. URL,NOT
RT @USER: اللهم ارحمه و اغفر له و اسكنه فسيح جناتك يا غفور يا حليم يا رحيم يا جواد يا رب العالمين URL,NOT
بكرا عندي اختبار موت وحياه يا انجح يا احمل الماده ف ادعولي ف اخر دا الليل وادعو لصديقاتي حقيقي معد بيدنا شي 🙏🏻,NOT
يا فريـد الطبـَع يا حلـو الوصـوُف .,NOT
الريمونتادا 😅😁<LF>الله عليك يا مروان يا محسن 😂 URL,NOT
يا راحة المُنهك يا حُلو الأحلام <LF>يا أيادي العطف يا عمق الحنين<LF>يا جامع نداءات الحُب والكَلام <LF>يا مرجع اللطف على مر السنين,NOT
يا معذبي بالحب يا قدوة هداي يا روح روحي يا رجاي وعمايا,NOT
RT @USER: الظاهر انا لما غنيت لفي بينا يا دنيا، دوخينا يا دنيا كانت ساعة استجابة,NOT
@USER @USER @USER @USER @USER @USER @USER @USER اختفى الغبي <LF>يا غبي يا لوح يا دلخ تعال وين اختفيت,OFF
@USER @USER يا عالم يا معرصة يا ولاد الكلب يا أوساخ يا زبالة الزبالة تفووووووووووو عليكوا انتوا وحكامكم,OFF
اللي يبتعد عن هله الناس ما تهابه <LF>و لوجاع و لاَّمرض من يحسب احسابه <LF>إلي على داره ابتعد مايلقى مقداره آه على ذلة الغــرب يا بويه يا يابه خايف انا و ارتجف جن عايش بغابه <LF>و اتمنى من الوطن بس شـمت اترابه,NOT
الحمدلله يارب على كل حال<LF>مبروووك يا حبي يا مزاجي يا إتحاد..<LF>#الاتحاد_النصر,NOT
@USER لا تصدقونها ولا احد يسمع كلامها هذه يا عانس يا مطلقه تبغى الحريم الضعيفات يسوون مثلها اعرف كيد النسوان وخططهن الجهنمية تبغى الحريم مثلها في الشر اما الخير لا لي بس وهذه الشيطانه الحروش الله يكفي الناس شرها بس,OFF
@USER يا مال العافية يا بنت العم,NOT
@USER @USER @USER @USER @USER @USER برونزيه من اسمها يا سمرا يا تمر حنه <LF>جميلتي حبيبتي قلب نقي وابيض,NOT
RT @USER: أمي يا نيّة السّلام يا طمأنينة قلبي ❤️,NOT
RT @USER: السلام عليك يا من أنفاسك حياة، يا من بأنفاسك الطهر يتنفس الصباح #MahdiSonOfHussain,NOT
لا عارف اوصل لقلبك ولا عارف اشيلك من بالي ،<LF>- يا بتعطيني حالك يا بتعطيني حالي! 💙<LF>#notredame,NOT
يا هاجرني يا ناسيني يا تاركني مع الأحزان,NOT
@USER دور مخرج يا حيوان يا سحبه يا احمق!!!!!!!!!!!!,OFF
وأنا عليك أغار وإن حرك طرف ثوبك مهب<LF>وأغار من كف الهوى لاشال عطرك وإنت لي<LF>يا أصدق من عيوني إذا هالكون بعيوني كذب<LF>يآ مبتدأ يا منتهى يا اخري يا أولي🖤,NOT
RT @USER: @USER @USER @USER @USER بن سلمان تاج راسك يا عجوز أبليس يا كذابة داعش موجودة في العراق قبل أن يو...,OFF
الله يا سلوةً للقلب يا أمــلا ..<LF>يرى المحب أفانين المنى فيها,NOT
ايه اللي ميسي بيعمله دااا؟ ايه يا ميسي .. رفقًا بكرة القدم يا ميسي! رفقًا بالتاريخ يا رجل URL,NOT
"@USER طيب يا متخرج يا فاهم..<LF>دور جني كيف تبيه يمثَّل برأيك؟<LF>وإذا ""مو لازم شخص اللي يمثل"" تبي الباب يمثل يعني؟",NOT
ليه كده بس يا رحاب يا بنت ليلى 😂😂😂 حسبى الله و نعم الوكيل 😂😂😂 URL,NOT
@USER يا بعد قلبي انتي يا الراقيه نقطه منج يكفي 😘♥️,NOT
@USER @USER 😂😂😂💔 طيب ماشى انا ححرمك من صوتى العندليب دة وحخليكى تندمى للابد يا مغرورة يا عدوة الفن 😂😂😂😂😂😂😂😂😂😂💔,NOT
بص انا عمتا مش عارفه ابدأ منين بس عايزه اقولك كلمتين يمكن يشجعوك ويخلوك احسن 🌸<LF>انا بتمنالك انك ترجع للشخص اللي حب... — قطعتي عليا ميعاد أحزاني اليومي يا انون يا جميل.. كان نفسي تكتبي عامة صح عشان الغلط بتستفزني بس تمام ..انا مبسوط ف... URL,NOT
@USER الله يبارك فيك ومبروك لك يا ابو تركي يا حبيب الشبابيين 🧡🖤,NOT
ياكِبر حظّي يُوم عندي مثلكِ<LF>يا نعَمتي في هالدنَيا يا أجمَل مالقيتِ♥️.<LF>@USER,NOT
RT @USER: يا كابتن هيثم يا عظيم والعظمه لله 🖤 URL,NOT
@USER صدارة بتعبنا مب بتعب غيري يا مسياري يا حمار 🦓 هههههههههههههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه سمعني نهيقك,OFF
@USER @USER @USER يا رب يارب يا أرحم الراحمين.<LF>لا بأس طهورا إن شاء الله <LF>اللهم آمين ثم آمین يارب العالمين,NOT
@USER اصل انا روش وثقيل متحبنيش يا وحشه يا وحشه .. 🔫<LF>+شكرا 💖,NOT
RT @USER: أنا محد يستخدم معايا تلميحات يا جماعة، أنا يا تقولي الحاجة دغري من غير مقبلات يا نبهرك بغبائي 😌💦,NOT
@USER كل سنة وأنت طيب يا كريم. يا رب تحقق كل اللي نفسك فيه. :),NOT
قولهم يا عمرو يا سماكه قولهم يا بيتر يا ايبمبيبوي.,NOT
@USER يا علوه يا جااامد .. دي في نوتردام البلد ولا نوتردام السياحه؟,NOT
يا أعظم يوم ، يا أحلى خريج بالحياة ،<LF>(فيصل)💛.,NOT
يا مهونه عليا انتى يا قمر💖😂 URL,NOT
RT @USER: أُحِبُّكِ بكُلِّ ما فيكِ .. أُحِبُّكِ يا جَميعَ أشيَائِي .. يا أرضِي وسمَائِي !*,NOT
@USER يارب يا كريم يا أحد يا صمد .,NOT
RT @USER: قولهم يا تريكة يا بركات يا جلبرتو #جدران_الاهلي_ليست_لمتخاذلين,NOT
@USER ايوة يا تيفا يا سجل يا مدنى محافظة الجيزة بضواحيها,NOT
@USER @USER @USER يا ميشال يا صديقي يا حبيبي يا قلبي يا روحي. الولمي عميشتغل بالقانون مش عمبفهم وين الجرم ووين الفساد . شو القصة ؟,NOT
RT @USER: #ساعة_استجابة <LF>اللهم يا حي يا قيوم يا سميع يا بصير نسألك العفو والعافية في الدنيا والآخرة اللهم اشف مرضانا ومرضى المسلمين...,NOT
أشتقت لك يا عديل الروح بلحالك <LF>من بين كل البشر بالذات واحشني <LF>لبيه يا صوتك ولبيه يا وصالك <LF>لا صرت غايب أحس بشي ناقصني❤️D🌹,NOT
RT @USER: هاه، يا ولاد الكلاب يا جزم..؟! URL,OFF
@USER تسلملي يا غالي ويحميلك عيلتك يا رب 🙏🏻,NOT
ميت فيك وما اخليك تبي عمري تبي روحي شنو يرضيك يا قلب امي يا ماي عيني احبك اي واموتك يا اسرني🎶,NOT
@USER حاضر، يا رب الله يسلمك يا اميرة💖,NOT
يا الله يا رب يا كريم يا عزيز يا جبار. يا قادر يا رحمن يا رحيم اُناجيك بكل اسم سميتا بهي نفسك انك تحقق ما نتمنى ، بتيسير و تسهيل يا حي يا قيوم ،يا عالم بكل شي ، قل لما يجول في خواطرنا و عقولنا كون ليكون .,NOT
ويا يابه يا يابه يا يابه ياااااليييل شبيييه ماانامممك,NOT
@USER اسعد الله صباحك يا كيان يا هلا بيك والله شرفتيناالله يحفظك طلتك الجميلة كلامك وقلبك الطيب ذوقك الطيب,NOT
RT @USER: روح قوله يا قمر فاكرنا ولا ناسي ناسينا ولا فاكر ليالي السهر روح قوله يا قمر ولا انت يا قمر أتعلمت القساوه و بقيت زي حبيبي بتنس...,NOT
اللهم اجعله غيثاً لقلوبنا و بلادنا وأمواتنا.. <LF>اللهم اجعله بشارة خير تهطل دافئة فتبهج أيامنا القادمة ..<LF>اللهم اجعلنا مبشرين لخيراتك لا منفرين واجعله يا كريم يا لطيف يا رحيم صيباً نافعاً 💦 URL,NOT
يا اكون كل شي يا لا شي الوسطية ابد مايلزمني.,NOT
@USER يا عممممري يا اتي مدري وش اقول حسبي الله صرت احبكم 💛🖤,NOT
RT @USER: @USER يا بنت الغيم و يا سيدة الورد <LF>يا ملاك عجز عن وصفها لساني<LF>علمينيّ من بالكون كله يشبهك,NOT
@USER يا عمري انا يا اريانا 😭😭♥️,NOT
@USER اقصى ماعندك تنبحين في تويتر يا الضبعه يا ذنب اليهود والترك والفرس <LF>اهم شي خليك على هذا الوزنيه,OFF
يا وجه العافيه يا سيّد الأبتسامه الحلوه,NOT
وراك يا اهلى<LF>فداك يا اهلى الف بطولة<LF>ع المره قبل الحلوة معاه,NOT
@USER على طاري يا قويك يا اخييي <LF>تذكرت خوينا بو السعابيل ههههههههههههه,NOT
RT @USER: يا قبلة الإســـلام يا دار الأخيار<LF>بأمر الولي تبقين نور ٍ على نور<LF>يا دولة التوحيد يا شمس الأقطار<LF>يا آمن بلد معمور بالنص...,NOT
@USER يا سلااااام عليك يا #توق <LF>من عز نفسه وجدها 👌🏻,NOT
والله انك فحل يا كوري يا اسطورة السلة يالمجدد,NOT
يا حســـايف قولتي لك يا حبيبي<LF>يوم قلبي جـــــاهلٍ بك ما درى!<LF>@USER,NOT
RT @USER: يا ليلي و يا ليلة وش نشكيلك يما راني ميتة بلعية و عينيا يوجع فيا @USER<LF>#BBMAsTopSocial EXO,NOT
RT @USER: يا الله يا رحيم يا غفور صُب رحمتك ومغفرتك على النائمة في قبرها وكُن لها أنيسًا في وحدتها اللهم هوّن عليها وحشة القبر واجعله...,NOT
"يا خيبة ظنوني و يا كبر القهر !<LF>ودي أقول لـ دورة الارض أوقفي<LF>لا تبدي أعذارك أنا اللي بعتذر <LF>وأستسمحك باقي سنيني وأختفي<LF>قلبك قدر يجرح و قلبي ما قدر <LF>سكت و سكوتي علامه لـ النفي<LF>من عادة الدنيا و من طبع البشر<LF>"" ضريبة الخذلان "" يدفعها الوفي.",NOT
طب اجبهالك ازااااااي🤔🤔🤔 — لا مش عارفه .... يا تقول يا متقولش عادي يعني هي مش كيمياااا 😂😂😂✋ URL,NOT
"RT @USER: يا أهل الجنة ؟ يا أهل الجنة ؟ يا أهل الجنة ؟ يا أهل الجنة ؟ إين الذين أطاعوني ولم يروني ؟ "" جعلنا الله وإياكم من الذين يناديهم...",NOT
يا مطيب جروحيّ يا أغلى من روحِي.,NOT
و يا صدفتي الحلوة و يا اجمل سنيني ♥️..,NOT
@USER @USER والله اللي يقرا كلامك يقول بلدك العراق كله غابات وثلوج<LF>العراق كله صحراء ولولا النفط ما كان عشت يا عراقي يا اعرابي يا حافي يا عاري,OFF
أنا أكتر حد دمي تقيل و تقريبا الناس اللي بتستحمل تقل دمي يا مصلحة يا بصعب عليهم مش أكتر URL,NOT
يتم قتلي في مصر يا امم يا متحدة يا سافلة يا معرصة باستخدام كافة انواع الاجهزة الممنوعة والمحظورة يا جوتيرش يا واطي,OFF
- حد بيسأل علي جروب الدفعة اذا كان في امتحان في السيكشن<LF>= بيردوا عليه بأسئلة ايه ده مين قال كده.. امتحان بتاع ايه.. جبت الكلام ده منين<LF>و اللي هو يا مثبت العقل يا رب 🤦🏻‍♀️😂,NOT
ياليت يا شقرديه يا عشاق #الهلال<LF>تشاركون بهذا الهاشتاق #ماذا_يعني_لك_الهلال,NOT
@USER @USER يا نديم يا حبيبي انا ضد نظام الأسد بسياستو بس ما خصك مين بحطو رئيس الأركان، شو بدك يحطو رجل السعوديه مثلا. بتتهمن بالتدخل بلبنان بلا ما تتدخل انت,NOT
يا بلوشي يا غبي اذا تأهلنا تروح البطاقات,OFF
بوووووم يا إلهيييي يا ولد يا ولد يا ولاااااد.<LF>اشتقنا لتعليقك.💞 URL,NOT
RT @USER: الفترة دي الحياة قاعدة تتحداني يا انا يا هي،انا استسلم والله,NOT
@USER @USER سامحيني يا ست الكل اذا قرأتي ردودي النجسة النذلة على الانذال الانجاس على صفحتك الطاهرة العفيفة يا تاج الراس و لا تحتسبيهم علينا يا حرة و سامحي هذه الأمة فنحن بريؤون من قذارتهم و لا تتاثري بمزابل الأمة ففي كل بيت طاهر تجدين حمام نج,OFF
@USER @USER @USER الجوع هو ما أنتم فيه يا تعوسي يا كلب نصفكم يأكل من القمامة والنصف الباقي يجري وراء الضب في الصحاري قبح الله سعيك يا تعوسي يا شارب بول البعير,OFF
@USER الله يرحمك ويغفر لك ويدخلك فسيح جناته يا رب الله يرحمك يا بشار,NOT
RT @USER: يا شامنا يا قدسنا يا يمنّا<LF>حنا العوض حنا الذخر والذخيره<LF>حنا العرب حنا وحنا وحنا<LF>واحد سفن وابو نجوم وفطيره 😅,NOT
اه يا اليغري يا جبان راح تتعبنا انت واياكس #يوفينتوس URL,OFF
RT @USER: @USER الحمدلله الحمدلله الحمد لله رب العالمين إلى الأمام يا آتي الله معاك يا عميد👍,NOT
RT @USER: ده يبقى يا ألف نهار أبيض يا أستاذ ممتاز 😂😂 URL,NOT
@USER @USER اللهم يا واحد يا أحد، يا فرد يا صمد، عجل بزوال آل مرخان، و طهر نجد و الحجاز من نجاستهم و عجل بزوال شيطان العرب الذي يحارب كل ما هو إسلامي، و افضحهم بالدنيا و اجعلهم حطب جهنم بالاخرة,NOT
@USER شكلك فرحان يا عبدالرحمن يا اخي انت يهودي و لا ايش ملتك مستحيل تكون مسلم,OFF
"يقول راشد الماجد :<LF>يا في عمري يا شمسي ويا ظلالي<LF>العين لك منزل والقلب لك مجلاس ..<LF>وشفيك لا غبت ما تنشد عن أحوالي؟!<LF>أنا أشهد إنك على الفرقا ""قوي الباس""<LF>وينك شغلت المشاعر وإنشغل بالي<LF>قلي يا عل وعسى يا صاحبي لا باس..<LF>صارح حبيبك بحالك يا بعد حالي<LF>من كأس صافي المحبه ما صفا لي كأس.. URL",NOT
غنى يا ميسى اضرب يا ميسى 😍😍😍<LF>الكبير كبير 😋😋,NOT
@USER هتعملي ايه يا فرخه يا مخططه النهارده. انا عني نفسي عيزاكوا تفوزوا. يارب يفوزوا يارب يفوزا,OFF
RT @USER: يا بعدهم يا الاتحاد 💛🖤💛🖤<LF>و<LF>#صدارة_بس,NOT
RT @USER: ✨خابت الظنون إلا فيك .. <LF>وانقطعت الآمال إلا منك .. <LF>وغُلقت الطرق إلا إليك يـا الله<LF> يا صاحب الفرج<LF>يا جاعلآً للضيق مخرج<LF>يام...,NOT
ياحب يا غزل يا ناس ولهانه<LF>يمن راحولي فدوه فلان وفلانه,NOT
@USER @USER @USER الكلاب هم انتم يا خونة العرب يا ذباب الكتروني,OFF
يا كلماتي الناعمة اللينة يا هدية أعوامي يا بارود الجمال يا إلتفاتات دهشاتي كل عام وعمرك ياعمري سعيد.. <LF>⁦@USER⁩ ❤️,NOT
RT @USER: دعاء من القلب لأبنائنا وبناتنا الطلاب والطالبات <LF>اللهم يا ملك الملك يا واسع العطاء يا ذا الجلال والإكرام اسالك بعدد من سجد في...,NOT
وحشني صوتك يا غلاي يا بسمي و فرحة شفاي.💛,NOT
@USER هيو يا سيوة يا قردة يا حليوة😂😂😂😂😂😂😂😂,OFF
@USER ياكبيره يافخمه يا جوهره يا اخلا فنانه 🌹🌹🌹,NOT
@USER انتي جميله.... شكل.. و أخلاق.... وستايل.... كلك ذوق يا اليسا يا ملكه الاحساااااس 💋 😍 😍,NOT
RT @USER: @USER يارب ياقوي يا عزيز يا حي يا قيوم يا جبار يامتكبر يا مهمين أسألك بعزك الذي لا يرام وملكك الذي لا يضام أن ت...,NOT
@USER اتفق وعشان كده قولت فكر كأنك كولي يعني لو كان الماتش للريال كانت هتتمسك الغلطات اللي لصالح الريال بس بقت موضه كده يعني يقولك هلا تحكيم وبتاع ويبرر سيطرة الريال ع البطوله بالتحكيم مع أن التحكيم فيه غلطات علطول حظك بقى يا ليك يا عليك يا ع الطر,NOT
@USER @USER من اجل هذا تأخذ منهم فلوس بالمليارات تهديد يعني يا الدفع يا الحبس هههههههه الهان عمر اشرف منك,OFF
تضيع فرص بدون هدف يا سواريز يا كوتينهو ما هدا 😳😳😳🤫🤫🙃,NOT
@USER يا تنامي يا game of thrones. انا خلصته بتاع ٥ مرات بسبب جلد الذات دا بس,NOT
@USER @USER الدعم المعنوي له وقته لاكن الوضع الحالي يبيله ناس تتواجد في النادي من بكره وتجلس مع الادارة وتناقشها يا تعدل يا امسك الباب عشان مايضيع الدوري و اسيا و كأس الملك يتحول من موسم كان ممكن يكون ببطوله او بطولتين الي موسم صفري,NOT
يا بعدهم كلهم و يا سراجي بينهم.🖤,NOT
RT @USER: لا لحكم العسكر...لا لحكم العسكر لا للسيسى...لا لابن عوف... لا ولا وألف لا لالحكم العسكررررر🔊ارحل يا بلحه يا ابن ملكيه ا...,OFF
@USER اللهم آمين اللهم يا قريب يا سميع يا مجيب افتح لهذه الدعوات الطيبة أبواب القبول والإجابة,NOT
@USER الحمدلله على الفوز يا رب<LF>الحمدلله على الفوز يا رب<LF>الحمدلله على الفوز يا رب هذا توفيق من رب العالمين يا رب لك الحمد والشكر والله التوفيق من رب العالمين الف مبررروك لكل جمهور الهلال الفوز وعقبال يا رب تحقيق الكاس يا رب بالتوفيق ل,NOT
RT @USER: @USER @USER @USER @USER @USER متحمسين ع يا بتفكر يا بتحس<LF>أزمة ثقة بس تنحل أزمتي مع...,NOT
RT @USER: اللللققققم يا زوران القققم يا محمد بن فيصل الللللللققم يا حبسي يا منتهي,NOT
RT @USER: يا معتلي يا لذووق تفووق عن الغير<LF>في ذمتي طلتك تشرح مزاجي<LF>إنته صباااحي ومسسائي الحب والخير<LF> انت الرذاذ اللي يزيل العجاجي😚...,NOT
يا حظك يا كريستيانو<LF>يا حظك يا كريستيانو<LF>يا حظك يا كريستيانو<LF>يا حظك يا كريستيانو<LF>يا حظك يا كريستيانو<LF>يا حظك يا كريستيانو,NOT
@USER بس يا حسين بس يا عيني بس يا روحى اهدى خلص خلصنا,NOT
